Line Name,Type,0.0
0,x_1,2.2714718833502037
1,x_1,0.13252111962762125
2,x_1,-2.1607906423095424
3,x_1,-2.9338332740370814
4,x_1,2.3001112094196188
5,x_1,2.656574495061329
6,x_1,-3.593743515778055
7,x_1,-4.641306349344109
8,x_1,4.563145879258302
9,x_1,4.904406586157039
10,x_1,-1.6404787165873125
11,x_1,-0.8947234742140395
12,x_1,-1.773895147376515
13,x_1,-4.3351361043231185
14,x_1,-1.0019431772939273
15,x_1,2.002785224082108
16,x_1,1.904499682123543
17,x_1,-3.4436591635516143
18,x_1,2.1576881201311204
19,x_1,-1.3169050828944933
20,x_1,0.2805430043045991
21,x_1,-4.798561855392792
22,x_1,2.970061149639446
23,x_1,-3.3540415942786375
24,x_1,0.7397684414433057
25,x_1,3.4331352218736306
26,x_1,-1.2883416925444302
27,x_1,2.455657842850215
28,x_1,2.83057439574473
29,x_1,-1.9734503592570931
30,x_1,3.2252311927069695
31,x_1,4.421633277763084
32,x_1,1.457780705025109
33,x_1,3.318993613645757
34,x_1,-0.6778761303553935
35,x_1,4.381438677926877
36,x_1,-2.803007347465481
37,x_1,-4.942329760114224
38,x_1,1.520152837800631
39,x_1,-3.656025951349209
40,x_1,4.059567982416153
41,x_1,1.3360474505141546
42,x_1,-1.5422108887305908
43,x_1,-3.15074309292467
44,x_1,-3.926257391422932
45,x_1,1.0161367358388382
46,x_1,-0.1768619363623154
47,x_1,-3.893760593140172
48,x_1,0.4418144788162799
49,x_1,-0.0596789366816175
50,x_1,3.6400704166834466
51,x_1,-4.05766648558468
52,x_1,-4.89596491731403
53,x_1,2.577982088401008
54,x_1,-0.31663559895248294
55,x_1,3.1057026914003636
56,x_1,0.3120387578789092
57,x_1,-3.0803580784127984
58,x_1,3.8391742450562276
59,x_1,-4.507086047998453
60,x_1,3.596932181228418
61,x_1,-0.5316133548164652
62,x_1,-2.098084451444875
63,x_1,-1.1101613533415966
64,x_1,-0.2929891860358742
65,x_1,-2.637267106490932
66,x_1,4.178346956004926
67,x_1,-4.283027157142308
68,x_1,4.7184459051059875
69,x_1,1.6991962747238638
70,x_1,-0.49315495474339865
71,x_1,1.7846887224428958
72,x_1,-4.159811280010927
73,x_1,-1.803663967955396
74,x_1,-2.3089394282785576
75,x_1,0.5233812833093063
76,x_1,0.08446659090902209
77,x_1,0.603939183369282
78,x_1,1.2229993753963244
79,x_1,4.8505696743781375
80,x_1,0.842612123795222
81,x_1,3.7940503952879396
82,x_1,-2.2550961232069873
83,x_1,4.618483839794703
84,x_1,3.980301188152632
85,x_1,-3.7789206898449974
86,x_1,1.1056680432165837
87,x_1,-3.213779702634181
88,x_1,-2.57924590637943
89,x_1,4.251628329919768
90,x_1,1.8226272430003192
91,x_1,-4.49466520030111
92,x_1,-0.7522649601877598
93,x_1,-2.7824876859869647
94,x_1,-1.4115413111770385
95,x_1,-0.9432025702683919
96,x_1,2.7096644834287753
97,x_1,-2.400044229674956
98,x_1,0.9870688455457435
99,x_1,3.061710594442866
0,x_2,2.717689695082398
1,x_2,-4.641904962011182
2,x_2,4.918527685033354
3,x_2,-1.898971550406431
4,x_2,0.2946756244692237
5,x_2,1.593443303875345
6,x_2,1.732432937735152
7,x_2,3.3701738273877258
8,x_2,1.6294067462176791
9,x_2,0.10392694142416481
10,x_2,4.4442577345932825
11,x_2,-4.565809472189451
12,x_2,0.47572829782755033
13,x_2,-3.578949306033466
14,x_2,-3.7770634222962327
15,x_2,-2.423055110591795
16,x_2,2.0631375326048254
17,x_2,-4.298085513200316
18,x_2,-3.8664720949921705
19,x_2,3.8162660815105482
20,x_2,2.9753472110659596
21,x_2,4.2580645225909635
22,x_2,-2.349014599044954
23,x_2,-4.091543462190276
24,x_2,0.8832363539660992
25,x_2,2.32719545593982
26,x_2,2.156391956675562
27,x_2,-2.8428739530062903
28,x_2,0.9083524914680021
29,x_2,-1.3880108906527289
30,x_2,3.2307770905293154
31,x_2,3.537783921372718
32,x_2,0.39385297834731325
33,x_2,-2.1249230350788944
34,x_2,0.5023707753644526
35,x_2,-3.4196195109516525
36,x_2,-1.1600481215413065
37,x_2,-1.6849527728994
38,x_2,1.1034672704226072
39,x_2,-1.4104437151868159
40,x_2,-4.993274408603263
41,x_2,2.511821862229109
42,x_2,-0.4582333004182999
43,x_2,4.008061540516961
44,x_2,-3.151681913668633
45,x_2,-2.6249734236061157
46,x_2,-1.7656613297822354
47,x_2,-1.509564022500614
48,x_2,-4.723564661356357
49,x_2,1.9734151259041655
50,x_2,1.2411303972066232
51,x_2,-3.6721631518337343
52,x_2,2.2293353421441005
53,x_2,1.8692354306154426
54,x_2,1.057199587828359
55,x_2,-1.2453304317927874
56,x_2,-3.9713480451072876
57,x_2,2.4342730925427905
58,x_2,4.605958709735313
59,x_2,4.12770692497134
60,x_2,0.7973800413357148
61,x_2,-2.5761853346334305
62,x_2,-4.858880848200541
63,x_2,-0.9703642386486706
64,x_2,-2.276252144324774
65,x_2,-3.3693536531957182
66,x_2,-3.0048555174336906
67,x_2,-0.14975727128336214
68,x_2,3.4675662902207076
69,x_2,3.0849959330503207
70,x_2,3.7648765386159386
71,x_2,-1.938853638877434
72,x_2,3.9540278893187413
73,x_2,-4.184630895715579
74,x_2,4.806204141695655
75,x_2,-0.26047406845688403
76,x_2,-0.024760211769621066
77,x_2,-4.3724711786548145
78,x_2,-0.8307988744053345
79,x_2,0.043130170634101184
80,x_2,-1.0785304112536642
81,x_2,-0.3185328995290009
82,x_2,3.110548342746105
83,x_2,-0.6619008726331597
84,x_2,-0.5468427847313269
85,x_2,4.3280334752551415
86,x_2,0.657394986606902
87,x_2,-2.985877645662685
88,x_2,2.8402703720994555
89,x_2,4.57844054732128
90,x_2,-3.268612450327753
91,x_2,2.651446132773989
92,x_2,-2.0173141439027247
93,x_2,4.720229394915821
94,x_2,-0.7649180890664988
95,x_2,3.6115146178395197
96,x_2,1.367127082522913
97,x_2,-2.732723538558753
98,x_2,-4.454523565744734
99,x_2,1.4866101545377841
0,x_3,-1.8283950026757854
1,x_3,-1.2097586966713898
2,x_3,-2.349872435537427
3,x_3,4.8071155678877915
4,x_3,2.1500278535207764
5,x_3,1.4289439521619487
6,x_3,-0.04687059816490713
7,x_3,-0.33881689798967773
8,x_3,-0.48836415148354995
9,x_3,-0.28182211327826323
10,x_3,-1.6031923618549264
11,x_3,-2.047526436233857
12,x_3,-4.990508206317833
13,x_3,-0.12685136402968844
14,x_3,-0.906168427134868
15,x_3,0.8805648805363342
16,x_3,1.1391910562943908
17,x_3,-2.6847951432575505
18,x_3,2.500003071884538
19,x_3,0.7544198662503696
20,x_3,3.506203676362878
21,x_3,3.4395937226195947
22,x_3,4.660435931971477
23,x_3,-1.5182592152693886
24,x_3,-3.11617695789182
